id_obbligo,label_ita_obbligo,organizzazione_nome,organizzazione_ipa,classificazione_S13_codice
010101,Obbligo inerente la pubblicazione del Piano triennale per la prevenzione della corruzione e della trasparenza (PTCT),Presidenza del Consiglio dei Ministri,PCM,101
010201,Obbligo di pubblicazione di riferimenti normativi su organizzazione e attività ,Presidenza del Consiglio dei Ministri,PCM,101
010202,Obbligo di pubblicazione di atti amministrativi generali,Presidenza del Consiglio dei Ministri,PCM,101
010203,Obbligo di pubblicazione di documenti di programmazione strategico-gestionale,Presidenza del Consiglio dei Ministri,PCM,101
010204,Obbligo di pubblicazione di statuti e leggi regionali,Presidenza del Consiglio dei Ministri,,101
010205,Obbligo di pubblicazione del codice disciplinare e codice di condotta,Presidenza del Consiglio dei Ministri,PCM,101
010301,Obbligo di pubblicazione dello scadenzario obblighi amministrativi,Presidenza del Consiglio dei Ministri,PCM,101
020102,Obbligo di pubblicazione concernente i titolari di incarichi politici,Presidenza del Consiglio dei Ministri,PCM,101
020107,"Obbligo di pubblicazione concernente i titolari di incarichi di amministrazione, di direzione o di governo",Presidenza del Consiglio dei Ministri,,101
020106,Obbligo di pubblicazione concernente i titolari cessati dall'incarico,Presidenza del Consiglio dei Ministri,PCM,101
020201,Obbligo di pubblicazione delle sanzioni per mancata comunicazione dei dati,Presidenza del Consiglio dei Ministri,PCM,101
020301,Obbligo di pubblicazione dei rendiconti gruppi consiliari regionali e provinciali,Presidenza del Consiglio dei Ministri,,101
020302,Obbligo di pubblicazione degli atti degli organi di controllo,Presidenza del Consiglio dei Ministri,,101
020401,Obbligo di pubblicazione concernente l'articolazione degli uffici,Presidenza del Consiglio dei Ministri,PCM,101
020501,Obbligo di pubblicazione dei recapiti degli uffici,Presidenza del Consiglio dei Ministri,PCM,101
030101,Obbligo di pubblicazione concernente i titolari di incarichi di collaborazione o consulenza,Presidenza del Consiglio dei Ministri,PCM,101
