A. Licenza Aperta;A.1. Dominio pubblico;A.1.1. Creative Commons CC0 1.0 Universal - Public Domain Dedication (CC0 1.0)
A. Licenza Aperta;A.1. Dominio pubblico;A.1.2 ODC Public Domain Dedication and License (PDDL)
A. Licenza Aperta;A.2. Attribuzione;A.2.1 Creative Commons Attribution 4.0 International (CC BY 4.0)
A. Licenza Aperta;A.2. Attribuzione;A.2.2 Creative Commons Attribution 3.0 Unported (CC BY 3.0)
A. Licenza Aperta;A.2. Attribuzione;A.2.3 Creative Commons Attribuzione Italia 3.0 (CC BY 3.0 IT)
A. Licenza Aperta;A.2. Attribuzione;A.2.4 Creative Commons Attribution 2.5 Generic (CC BY 2.5) 
A. Licenza Aperta;A.2. Attribuzione;A.2.5 Creative Commons Attribuzione 2.5 Italia (CC BY 2.5 IT)
A. Licenza Aperta;A.2. Attribuzione;A.2.6 Creative Commons Attribution 2.0 Generic (CC BY 2.0)
A. Licenza Aperta;A.2. Attribuzione;A.2.7 Creative Commons Attribuzione 2.0 Italia (CC BY 2.0 IT)
A. Licenza Aperta;A.2. Attribuzione;A.2.8 Creative Commons Attribution 1.0 Generic (CC BY 1.0)
A. Licenza Aperta;A.2. Attribuzione;A.2.9 Italian Open Data License 2.0 (IODL 2.0)
A. Licenza Aperta;A.2. Attribuzione;A.2.10 Open Data Commons Attribution License (ODC_BY)
A. Licenza Aperta;A,3. Effetto Virale (a.k.a. Condivisione allo stesso modo);A.3.1 Creative Commons Attributon_ShareAlike 4.0 International (CC BY-SA 4.0)
A. Licenza Aperta;A,3. Effetto Virale (a.k.a. Condivisione allo stesso modo);A.3.2 Creative Commons Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0)
A. Licenza Aperta;A,3. Effetto Virale (a.k.a. Condivisione allo stesso modo);A.3.3 Creative Commons Attribuzione - Condividi allo stesso modo 3.0 Italia (CC BY-SA 3.0 IT)
A. Licenza Aperta;A,3. Effetto Virale (a.k.a. Condivisione allo stesso modo);A.3.4 Creative Commons Attribution-ShareAlike 2.5 Generic (CC BY-SA 2.5)
A. Licenza Aperta;A,3. Effetto Virale (a.k.a. Condivisione allo stesso modo);A.3.5 Creative Commons Attribuzione - Condividi allo stesso modo 2.5 Italia (CC-BY-SA 2.5 IT)
A. Licenza Aperta;A,3. Effetto Virale (a.k.a. Condivisione allo stesso modo);A.3.6 Creative Commons Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0)
A. Licenza Aperta;A,3. Effetto Virale (a.k.a. Condivisione allo stesso modo);A.3.7 Creative Commons Attribuzione - Condividi allo stesso modo 2.0 Italia (CC BY-SA 2.0 IT)
A. Licenza Aperta;A,3. Effetto Virale (a.k.a. Condivisione allo stesso modo);A.3.8 Craetive Commons Attribution - ShareAlike 1.0 Generic (CC BY-SA 1.0)
A. Licenza Aperta;A,3. Effetto Virale (a.k.a. Condivisione allo stesso modo);A.3.9 Italian Open Data License 1.0 (IODL 1.0)
A. Licenza Aperta;A,3. Effetto Virale (a.k.a. Condivisione allo stesso modo);A.3.10 Open Data Commons Open Database License 1.0 (ODbL)
A. Licenza Aperta;A,3. Effetto Virale (a.k.a. Condivisione allo stesso modo);A.3.11 GNU Free Documentation License 1.3 (GFDL 1.3)
A. Licenza Aperta;A.4. Effetto Virale / copyleft non compatibile ;A.4.1 Against DRM (2.0)
B. Licenza Non Aperta;B.1. Solo uso non commerciale;B.1.1 Creative Commons Attribution_NonCommercial 4.0 International (CC BY-NC 4.0)
B. Licenza Non Aperta;B.1. Solo uso non commerciale;B.1.2 Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0)
B. Licenza Non Aperta;B.1. Solo uso non commerciale;B.1.3 Creative Commons Attribuzione - Non Commerciale 3.0 Italia (CC BY-NC 3.0 IT)
